shotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedYCord,shotAngleAdjusted,shotAngle,shotRebound,shotOnEmptyNet,shooterName,shooterPlayerId,goalieIdForShot,goalieNameForShot,timeSinceLastEvent,speedFromLastEvent,xGoal,shotType,event,shooterLeftRight
0,4.123105626,85,-1,14.03624347,-14.03624347,0,0,Brady Tkachuk,8480801,8475883,Frederik Andersen,25,3.400235286,0.225045,TIP,GOAL,L
43,3,86,0,0,0,1,0,Frederik Gauthier,8477512,8467950,Craig Anderson,0,37.80211634,0.707903,WRIST,GOAL,L
48,5.385164807,84,2,21.80140949,21.80140949,1,0,Trevor Moore,8479675,8467950,Craig Anderson,0,43.38202393,0.41008,SLAP,GOAL,L
50,8.485281374,-83,-6,45,45,0,0,Scott Sabourin,8477149,8475883,Frederik Andersen,10,18.1664526,0.128113,WRIST,GOAL,R
52,7.810249676,83,5,39.80557109,39.80557109,0,0,Auston Matthews,8479318,8467950,Craig Anderson,20,7.97260936,0.215509,WRIST,GOAL,L
64,35,62,-22,39.80557109,-39.80557109,0,0,Auston Matthews,8479318,8467950,Craig Anderson,5,0.894427191,0.0861766,SLAP,GOAL,L
84,13,-79,8,39.28940686,-39.28940686,0,0,Ilya Mikheyev,8481624,8467950,Craig Anderson,8,3.448278556,0.0787564,WRIST,GOAL,L
97,15,74,2,6.709836808,6.709836808,1,0,Bobby Ryan,8471676,8475883,Frederik Andersen,0,30.87069808,0.436082,WRIST,GOAL,R
102,8.602325267,82,5,35.53767779,35.53767779,0,0,Sammy Blais,8478104,8474651,Braden Holtby,29,5.22615757,0.126827,TIP,GOAL,L
109,44,54,26,36.57303098,36.57303098,0,0,Alex Pietrangelo,8474565,8474651,Braden Holtby,6,6.718548124,0.0528998,SLAP,GOAL,R
114,42,-52,21,29.35775354,-29.35775354,0,0,Alex Ovechkin,8471214,8476412,Jordan Binnington,9,17.01306687,0.0388645,SNAP,GOAL,R
136,58,35,-22,22.38013505,-22.38013505,0,0,Dmitry Orlov,8475200,8476412,Jordan Binnington,4,13.25235828,0.435406,SLAP,GOAL,L
177,33,61,17,30.96375653,30.96375653,0,0,Jakub Vrana,8477944,8476412,Jordan Binnington,36,1.037119706,0.0491455,WRIST,GOAL,L
186,13,78,-7,33.69006753,-33.69006753,0,0,Leon Draisaitl,8477934,8474593,Jacob Markstrom,5,3.883297568,0.111962,SNAP,GOAL,L
219,55,34,-6,6.458816379,-6.458816379,0,0,Alexander Edler,8471303,8469608,Mike Smith,76,1.539979674,0.0252802,SLAP,GOAL,L
242,20,-70,-5,13.24051992,13.24051992,0,0,Tanner Pearson,8476871,8469608,Mike Smith,2,11.88486432,0.213091,TIP,GOAL,L
249,8.062257748,82,4,29.7448813,29.7448813,0,0,Connor McDavid,8478402,8474593,Jacob Markstrom,4,19.81476722,0.260303,WRIST,GOAL,L
265,27,-65,-12,27.55281158,27.55281158,0,0,Mark Stone,8475913,8474889,Martin Jones,1,16.1245155,0.121942,WRIST,GOAL,R
268,11,-78,-3,16.69924423,16.69924423,0,0,Reilly Smith,8475191,8474889,Martin Jones,19,1.48211872,0.14707,WRIST,GOAL,L
277,35,64,24,43.78112476,43.78112476,0,0,Marcus Sorensen,8475834,8470594,Marc-Andre Fleury,24,5.583488804,0.0240936,WRIST,GOAL,L
289,14,80,10,48.0127875,48.0127875,0,0,Cody Glass,8479996,8474889,Martin Jones,17,8.882547719,0.0953382,SNAP,GOAL,R
321,5.830951895,-86,-5,59.03624347,59.03624347,0,0,Reilly Smith,8475191,8474889,Martin Jones,7,15.71493505,0.180699,WRIST,GOAL,L
347,43,59,-30,45,-45,0,0,Nikita Kucherov,8476453,8475683,Sergei Bobrovsky,4,8.25378701,0.083332,SLAP,GOAL,L
373,7,82,2,14.03624347,14.03624347,0,0,Mike Hoffman,8474884,8476883,Andrei Vasilevskiy,5,9.141115906,0.162336,WRIST,GOAL,L
387,59,-31,-11,10.92280472,10.92280472,0,0,Kevin Shattenkirk,8474031,8475683,Sergei Bobrovsky,27,4.662108297,0.0183917,SNAP,GOAL,R
408,21,-68,4,9.865806943,-9.865806943,0,0,Vincent Trocheck,8476389,8476883,Andrei Vasilevskiy,43,3.197230413,0.117558,WRIST,GOAL,R
410,5.830951895,84,3,30.96375653,30.96375653,1,0,Ondrej Palat,8476292,8475683,Sergei Bobrovsky,1,18.11077028,0.546923,TIP,GOAL,L
417,6.403124237,85,5,51.34019175,51.34019175,0,0,Pat Maroon,8474034,8475683,Sergei Bobrovsky,1,17.20465053,0.247039,WRIST,GOAL,L
435,4.123105626,-88,4,75.96375653,-75.96375653,0,0,Marc Staal,8471686,8476945,Connor Hellebuyck,18,1.928506106,0.0510157,WRAP,GOAL,L
445,25,64,-1,3.17983012,-3.17983012,0,0,Mark Scheifele,8476460,8468685,Henrik Lundqvist,2,20.55480479,0.184296,SNAP,GOAL,R